gene	dn	ds
SAR1861	  0.00840312	  0.02968943
SAR1864	  0.00023865	  0.02463040
SAR1865	  0.00460949	  0.04925734
SAR1866	  0.00392943	  0.01840491
SAR1867	  0.00832871	  0.05613069
SAR0189	  0.00775487	  0.04756990
SAR1868	  0.00392569	  0.03057909
SAR1869	  0.00299007	  0.04138086
SAR1870	  0.00104971	  0.03489996
SAR1871	  0.00084839	  0.04029415
SAR1873	  0.01028594	  0.10916186
SAR1874	  0.00411587	  0.02754721
SAR1875	  0.00269218	  0.03548675
SAR1876	  0.01126001	  0.05553908
SAR1877	  0.00865721	  0.05245968
SAR1878	  0.01580192	  0.03694341
SAR0190	  0.00345999	  0.04701981
SAR1879	  0.02245076	  0.04440631
SAR0191	  0.00262521	  0.02096164
SAR1892	  0.04993457	  0.08939449
SAR1898	  0.01878483	  0.10857705
SAR1899	  0.00669105	  0.12982141
SAR0018	  0.00007087	  0.03259094
SAR0192	  0.00087485	  0.02049014
SAR0193	  0.00131077	  0.03098141
SAR1922	  0.00301546	  0.09402680
SAR1923	  0.00434747	  0.04531053
SAR1924	  0.00179844	  0.03018972
SAR1925	  0.00155226	  0.03175465
SAR1926	  0.03193563	  0.21984585
SAR1927	  0.00613896	  0.04506216
SAR1928	  0.00090760	  0.03068755
SAR1929	  0.00183944	  0.02358527
SAR0194	  0.00029255	  0.01352865
SAR1930	  0.00022788	  0.03537601
SAR1931	  0.00097227	  0.01747208
SAR1932	  0.00126915	  0.02360258
SAR1933	  0.00055891	  0.01682252
SAR1934	  0.00143768	  0.02698431
SAR1935	  0.00042032	  0.02378954
SAR1936	  0.00013837	  0.00244611
SAR1937	  0.00672956	  0.03068285
SAR1938	  0.00010642	  0.00434217
SAR1939	  0.00251228	  0.04624346
SAR1940	  0.00155369	  0.03183514
SAR1941	  0.00219004	  0.02892065
SAR1942	  0.00296850	  0.04702506
SAR1943	  0.00365616	  0.02326999
SAR1944	  0.00329264	  0.06922271
SAR1945	  0.00142823	  0.02257565
SAR1946	  0.00054998	  0.01916317
SAR1947	  0.00206756	  0.03031263
SAR1948	  0.00013486	  0.02608051
SAR1949	  0.00266163	  0.01924430
SAR0196	  0.00118450	  0.03558528
SAR1950	  0.00170803	  0.02342374
SAR1951	  0.00043037	  0.00577305
SAR1952	  0.00712458	  0.03092998
SAR1953	  0.00296976	  0.03374963
SAR1954	  0.00161135	  0.03109370
SAR1955	  0.00066173	  0.01711412
SAR1956	  0.00090518	  0.02493689
SAR1957	  0.00122797	  0.02809153
SAR1958	  0.00423246	  0.03698556
SAR1959	  0.00348295	  0.01334456
SAR1960	  0.00592213	  0.02249197
SAR1961	  0.00251080	  0.02846450
SAR1962	  0.00030852	  0.03043966
SAR1963	  0.00107971	  0.02457775
SAR1964	  0.00052127	  0.01625148
SAR1965	  0.00155109	  0.03456047
SAR1966	  0.00000000	  0.01207848
SAR1967	  0.00340153	  0.01354788
SAR1968	  0.00068400	  0.02795424
SAR1969	  0.00183372	  0.03599443
SAR0198	  0.00338250	  0.04480094
SAR1970	  0.00158720	  0.00313662
SAR1971	  0.00509191	  0.06127616
SAR1972	  0.00027106	  0.01573491
SAR1973	  0.00175424	  0.02652362
SAR1974	  0.00141375	  0.01392657
SAR1975	  0.00031898	  0.03132624
SAR1976	  0.00035568	  0.02406839
SAR1977	  0.00344642	  0.00810639
SAR1978	  0.00046334	  0.03071396
SAR1980	  0.00171448	  0.04222390
SAR0199	  0.00468642	  0.02725615
SAR1981	  0.01792227	  0.05688878
SAR1982	  0.00302971	  0.02714138
SAR1983	  0.00267246	  0.01923335
SAR1984	  0.00274209	  0.02121152
SAR1985	  0.00102404	  0.01006525
SAR1986	  0.00156960	  0.02588051
SAR1987	  0.00196353	  0.01112609
SAR1988	  0.00288702	  0.01710500
SAR1989	  0.00097657	  0.00955438
SAR1991	  0.00039408	  0.02634212
SAR0200	  0.00452078	  0.02869950
SAR1992	  0.00118002	  0.01788441
SAR1993	  0.00024413	  0.00268263
SAR1994	  0.00251681	  0.04589357
SAR1995	  0.00061772	  0.02152313
SAR1996	  0.00139120	  0.04091828
SAR1997	  0.00042442	  0.02745727
SAR1998	  0.00400534	  0.01161308
SAR1999	  0.00008290	  0.00951463
SAR2000	  0.00061783	  0.02498139
SAR2001	  0.01002937	  0.02457679
SAR0201	  0.00153740	  0.02853837
SAR2002	  0.00073305	  0.00309568
SAR2003	  0.00825410	  0.06419970
SAR2004	  0.00029138	  0.01223122
SAR2005	  0.00507259	  0.09515596
SAR2006	  0.00228211	  0.04429095
SAR2007	  0.00360492	  0.01335920
SAR2008	  0.00410773	  0.02503184
SAR2009	  0.00183338	  0.04898703
SAR2010	  0.00527239	  0.03899024
SAR2011	  0.00000000	  0.01637263
SAR0019	  0.00030509	  0.03287917
SAR0202	  0.00300484	  0.01214975
SAR2012	  0.00000000	  0.01859038
SAR2013	  0.00151287	  0.02442477
SAR2014	  0.00178754	  0.02293156
SAR2015	  0.00157296	  0.01248782
SAR2016	  0.00069267	  0.01444083
SAR2017	  0.00204570	  0.02607462
SAR2018	  0.00432445	  0.02138382
SAR2019	  0.00183193	  0.01036648
SAR2020	  0.00061628	  0.02504876
SAR2021	  0.00074438	  0.01473370
SAR0203	  0.00312057	  0.06054313
SAR2022	  0.00224710	  0.03786711
SAR2023	  0.00071185	  0.01901728
SAR2024	  0.00242347	  0.02606768
SAR2025	  0.00519070	  0.03734097
SAR2026	  0.00480871	  0.07453232
SAR2027	  0.01530328	  0.11270499
SAR2027a	  0.00000000	  0.02754407
SAR2028	  0.00765377	  0.05052399
SAR2029	  0.19925104	  0.22322702
SAR2030	  0.04401893	  0.14862076
SAR0204	  0.00336687	  0.02797135
SAR0205	  0.00119028	  0.03150348
SAR0206	  0.00136252	  0.03512224
SAR0207	  0.00120101	  0.04125337
SAR0208	  0.00045829	  0.02108469
SAR0209	  0.00467936	  0.04356543
SAR0210	  0.00432494	  0.07144381
SAR2111	  0.00348147	  0.04240311
SAR0211	  0.00180133	  0.03258226
SAR2116	  0.00239637	  0.09479268
SAR2117	  0.00027235	  0.06910370
SAR2118	  0.01647144	  0.13848012
SAR2119	  0.02455839	  0.12544781
SAR2120	  0.00188406	  0.02533640
SAR2121	  0.00507227	  0.02926549
SAR2122	  0.00120274	  0.00000000
SAR0002	  0.00025050	  0.02233808
SAR0020	  0.00254504	  0.06660116
SAR0212	  0.00106843	  0.00668801
SAR2123	  0.00161757	  0.02451187
SAR2125	  0.00096557	  0.00759306
SAR2126	  0.00092448	  0.06772912
SAR2127	  0.00625401	  0.03648190
SAR2128	  0.00385872	  0.03901457
SAR2129	  0.00278728	  0.03581115
SAR2130	  0.00613646	  0.13171036
SAR2131	  0.00519277	  0.03794377
SAR2132	  0.00563701	  0.03157966
SAR0213	  0.00031188	  0.03054907
SAR2133	  0.00047712	  0.00814692
SAR2134	  0.00227424	  0.02305456
SAR2135	  0.00484215	  0.02814303
SAR2136	  0.00312123	  0.02227110
SAR2137	  0.00210188	  0.02975570
SAR2138	  0.00592437	  0.01500424
SAR2139	  0.00392827	  0.03471351
SAR2140	  0.00095648	  0.02215678
SAR2141	  0.00222308	  0.02064782
SAR2143	  0.00066710	  0.02062585
SAR0214	  0.00119733	  0.02884834
SAR2144	  0.00185174	  0.01641327
SAR2145	  0.00265114	  0.03579075
SAR2146	  0.00152381	  0.04452638
SAR2147	  0.00565815	  0.16540278
SAR2148	  0.00398996	  0.11680835
SAR2150	  0.00973893	  0.07663624
SAR2151	  0.00311643	  0.04528727
SAR2152	  0.00110656	  0.03311903
SAR2153	  0.00190107	  0.01934129
SAR0215	  0.00176269	  0.02697225
SAR2154	  0.00007726	  0.00799543
SAR2155	  0.00039723	  0.01509718
SAR2156	  0.00164620	  0.03661090
SAR2157	  0.00120187	  0.00113101
SAR2158	  0.00210909	  0.02336088
SAR2159	  0.00500708	  0.05102535
SAR2160	  0.00978134	  0.04644828
SAR2161	  0.00136782	  0.00691180
SAR2162	  0.01896543	  0.04818690
SAR2163	  0.00833025	  0.03157050
SAR0216	  0.00444053	  0.03677029
SAR2164	  0.00111978	  0.00472279
SAR2165	  0.00552333	  0.02809289
SAR2166	  0.00416503	  0.02604135
SAR2167	  0.00162204	  0.02694894
SAR2168	  0.00102776	  0.03704996
SAR2169	  0.00453908	  0.03464930
SAR2170	  0.00243502	  0.01909809
SAR2171	  0.00058189	  0.02469640
SAR2173	  0.00018498	  0.00066853
SAR2174	  0.00680801	  0.03485813
SAR0217	  0.00004403	  0.01133519
SAR2177	  0.00134101	  0.03071544
SAR2178	  0.00650786	  0.01958202
SAR2179	  0.00013827	  0.01828354
SAR2180	  0.00463935	  0.03112454
SAR2181	  0.00732307	  0.01585975
SAR2182	  0.00441646	  0.01757795
SAR2183	  0.00810458	  0.04904470
SAR2183b	  0.03805268	  0.02275957
SAR2184	  0.00558744	  0.00826208
SAR2185	  0.00165768	  0.00719925
SAR0218	  0.00006586	  0.01045578
SAR2186	  0.00154790	  0.01405005
SAR2187	  0.00068887	  0.03748626
SAR2188	  0.00202701	  0.07720876
SAR2189	  0.00116298	  0.01991931
SAR2190	  0.00006254	  0.00477294
SAR2191	  0.00028736	  0.01027992
SAR2192	  0.00020047	  0.00531173
SAR2193	  0.00010138	  0.01260452
SAR2194	  0.00212286	  0.01466366
SAR2195	  0.00111672	  0.00385127
SAR0219	  0.01785582	  0.03201483
SAR2196	  0.00000000	  0.00000000
SAR2197	  0.00013747	  0.00877151
SAR2198	  0.00230255	  0.00512499
SAR2199	  0.00243890	  0.01934901
SAR2200	  0.00007975	  0.02112016
SAR2201	  0.00048941	  0.01206308
SAR2202	  0.00426621	  0.02118484
SAR2203	  0.00245377	  0.01937925
SAR2204	  0.00378652	  0.01974188
SAR2205	  0.00230652	  0.01308811
SAR0220	  0.00276314	  0.04332769
SAR2206	  0.00087721	  0.02144081
SAR2207	  0.00150093	  0.02386510
SAR2208	  0.00000000	  0.00000000
SAR2209	  0.00054308	  0.02284941
SAR2210	  0.00219719	  0.03023522
SAR2211	  0.00053169	  0.00280878
SAR2212	  0.00115590	  0.02960887
SAR2213	  0.00023377	  0.02959862
SAR2214	  0.00342169	  0.03145568
SAR2215	  0.00053884	  0.05155706
SAR0221	  0.01032084	  0.03375835
SAR2216	  0.00000000	  0.02631127
SAR2217	  0.00095393	  0.03940343
SAR2218	  0.00174330	  0.02042496
SAR2219	  0.00057920	  0.00619056
SAR2220	  0.00241472	  0.01482392
SAR2221	  0.00170666	  0.02964910
SAR2222	  0.00059473	  0.03673546
SAR2223	  0.00285537	  0.02134874
SAR2224	  0.00271372	  0.02843229
SAR2225	  0.01753571	  0.04730784
SAR0021	  0.00697792	  0.13093008
SAR0222	  0.07082174	  0.19526115
SAR2226	  0.00071304	  0.01553105
SAR2227	  0.00130240	  0.05749114
SAR2228	  0.00523201	  0.01698727
SAR2229	  0.00070576	  0.02290896
SAR2230	  0.00168322	  0.01381893
SAR2231	  0.00138377	  0.02099423
SAR2232	  0.00521361	  0.03180100
SAR2233	  0.00110120	  0.01405882
SAR2234	  0.00339415	  0.04570683
SAR2235	  0.00692475	  0.01988955
SAR0223	  0.00315035	  0.02784512
SAR2240	  0.01018375	  0.10178316
SAR2241	  0.01556085	  0.09156228
SAR2242	  0.00127732	  0.04905202
SAR2243	  0.00598246	  0.00612710
SAR2244	  0.00718263	  0.11660624
SAR2245	  0.00521360	  0.01985505
SAR2251	  0.19925104	  0.22322702
SAR0224	  0.00474599	  0.03002734
SAR2252	  0.00047190	  0.02738329
SAR2253	  0.00321568	  0.03277140
SAR2254	  0.00021663	  0.01931976
SAR2255	  0.00335483	  0.01296323
SAR2256	  0.00437705	  0.08014250
SAR2259	  0.00199315	  0.06071431
SAR2260	  0.00331780	  0.04823221
SAR2261	  0.00264722	  0.10250689
SAR2262	  0.00804463	  0.07782174
SAR2263	  0.00315486	  0.01429842
SAR0225	  0.00121726	  0.02257426
SAR2264	  0.00056085	  0.04220798
SAR2265	  0.00465247	  0.08429311
SAR2266	  0.00156372	  0.02818790
SAR2267	  0.00925514	  0.15724592
SAR2268	  0.00480424	  0.07702690
SAR2269	  0.00517150	  0.03115553
SAR2270	  0.00341238	  0.03641957
SAR2271	  0.00301864	  0.02382500
SAR2272	  0.00492710	  0.02998002
SAR2273	  0.00018853	  0.06885953
SAR0226	  0.00133285	  0.04753155
SAR2274	  0.00379295	  0.01747995
SAR2275	  0.00295947	  0.04976747
SAR2276	  0.00425542	  0.07455388
SAR2277	  0.00627695	  0.05406625
SAR2278	  0.00645837	  0.05281703
SAR2279	  0.00507464	  0.06196224
SAR2280	  0.00129942	  0.04224962
SAR2281	  0.00106560	  0.05254684
SAR2282	  0.00109835	  0.06271496
SAR2283	  0.00253172	  0.10288872
SAR0227	  0.00483616	  0.03814387
SAR2284	  0.00457109	  0.07439352
SAR2285	  0.00061241	  0.03553745
SAR2286	  0.00019900	  0.00971506
SAR2287	  0.00189345	  0.06370392
SAR2288	  0.00697705	  0.03210322
SAR2290	  0.00267519	  0.03158538
SAR2291	  0.00646026	  0.02509055
SAR2292	  0.00033728	  0.00128655
SAR2295	  0.01019198	  0.09204571
SAR2296	  0.00513992	  0.08174211
SAR2297	  0.00292826	  0.11123865
SAR2297b	  0.02212573	  0.05731936
SAR2300	  0.03754567	  0.00814978
SAR2301	  0.00065523	  0.00744457
SAR0229	  0.00503925	  0.06958555
SAR2302	  0.00000000	  0.00000000
SAR2303	  0.00474284	  0.04782722
SAR2304	  0.00323771	  0.03919207
SAR2305	  0.00662021	  0.02859363
SAR2308	  0.00006985	  0.00663744
SAR2309	  0.00000000	  0.00649606
SAR2310	  0.00000000	  0.00314846
SAR2311	  0.00007091	  0.00064783
SAR0230	  0.00415407	  0.03340071
SAR2312	  0.00000000	  0.00000000
SAR2313	  0.00000000	  0.00117350
SAR2314	  0.00003834	  0.00490694
SAR2315	  0.00028142	  0.01882621
SAR2316	  0.00011605	  0.00677153
SAR2317	  0.00028555	  0.00094719
SAR2318	  0.00015728	  0.00236727
SAR2319	  0.00061575	  0.00161234
SAR2320	  0.00000000	  0.00492775
SAR2321	  0.00000000	  0.00736421
SAR0231	  0.01856017	  0.07166062
SAR2322	  0.00000000	  0.00000000
SAR2323	  0.00023046	  0.00485708
SAR2324	  0.00023648	  0.00812857
SAR2325	  0.00000000	  0.00561061
SAR2326	  0.00000000	  0.00723186
SAR2327	  0.00000000	  0.00042365
SAR2328	  0.00000000	  0.00445297
SAR2329	  0.00007771	  0.00645513
SAR2330	  0.00067172	  0.00069365
SAR2331	  0.00017789	  0.00366888
SAR0022	  0.00042652	  0.04541391
SAR0232	  0.01272424	  0.13984705
SAR2332	  0.00009258	  0.00750571
SAR2333	  0.00009052	  0.01473802
SAR2334	  0.00147392	  0.01191432
SAR2335	  0.00026529	  0.01862436
SAR2336	  0.00000000	  0.02136941
SAR2337	  0.00181536	  0.02506837
SAR2338	  0.00043576	  0.02857892
SAR2339	  0.00185346	  0.02434280
SAR2340	  0.00316943	  0.03261076
SAR2341	  0.00070375	  0.01700668
SAR0233	  0.00879922	  0.07870436
SAR2342	  0.00454118	  0.02875778
SAR2343	  0.00442173	  0.03233900
SAR2344	  0.00386551	  0.07528345
SAR2345	  0.00196130	  0.02715420
SAR2346	  0.00222064	  0.03649197
SAR2347	  0.00686272	  0.00572780
SAR2348	  0.00215691	  0.02500177
SAR2349	  0.00451615	  0.05710960
SAR2350	  0.00337630	  0.02332245
SAR2351	  0.00118846	  0.01220052
SAR0234	  0.00180238	  0.00731253
SAR2352	  0.00185025	  0.02882241
SAR2353	  0.00273811	  0.01624935
SAR2354	  0.00427227	  0.02398497
SAR2355	  0.00093975	  0.01528169
SAR2356	  0.00655297	  0.02147833
SAR2357	  0.00239919	  0.03043704
SAR2358	  0.00713085	  0.01156306
SAR2359	  0.00821571	  0.08934881
SAR2360	  0.00442311	  0.04326780
SAR2361	  0.00227748	  0.03741354
SAR0235	  0.00165619	  0.02715316
SAR2362	  0.00274809	  0.01397853
SAR2363	  0.01376793	  0.08297022
SAR2364	  0.00410896	  0.06030239
SAR2365	  0.00011722	  0.00000000
SAR2366	  0.00238085	  0.02975199
SAR2367	  0.00268263	  0.03354486
SAR2368	  0.00136056	  0.02599375
SAR2369	  0.00562448	  0.03899539
SAR2370	  0.02587277	  0.03144798
SAR2371	  0.00719204	  0.08389815
SAR0236	  0.00503317	  0.03163454
SAR2375	  0.00127703	  0.03395006
SAR2376	  0.00293876	  0.01757735
SAR2377	  0.00073314	  0.02255209
SAR2378	  0.00052952	  0.01830133
SAR2379	  0.00000000	  0.00056971
SAR2380	  0.00518984	  0.02901125
SAR2381	  0.00512387	  0.02116940
SAR2382	  0.00555343	  0.02337409
SAR2383	  0.00116478	  0.02540763
SAR2384	  0.00809508	  0.02496016
SAR2385	  0.00533365	  0.04076970
SAR2386	  0.00165969	  0.03448070
SAR2387	  0.00584085	  0.03383943
SAR2388	  0.00350051	  0.04913722
SAR2389	  0.00199930	  0.02943434
SAR2390	  0.00232646	  0.02630549
SAR2391	  0.00336663	  0.02454273
SAR0240	  0.00402998	  0.08897878
SAR2391a	  0.00010183	  0.00469504
SAR2392	  0.01081875	  0.17526618
SAR2393	  0.00507337	  0.13997513
SAR2394	  0.00030796	  0.02522080
SAR2395	  0.00338019	  0.02567195
SAR2396	  0.00136831	  0.01986392
SAR2397	  0.00425592	  0.00605809
SAR2398	  0.00524335	  0.01074586
SAR2399	  0.00000000	  0.01871430
SAR2400	  0.00141033	  0.03513095
SAR0241	  0.00083587	  0.02219286
SAR2401	  0.00985919	  0.00045563
SAR2402	  0.00196457	  0.00341475
SAR2403	  0.00565335	  0.00382213
SAR2404	  0.00230353	  0.02039159
SAR2407	  0.00051268	  0.01359832
SAR2408	  0.00269660	  0.06455397
SAR2409	  0.00191535	  0.05916677
SAR2410	  0.00218581	  0.02516835
SAR2411	  0.00117061	  0.01004594
SAR2412	  0.00281187	  0.00486399
SAR0242	  0.00122272	  0.02004027
SAR2413	  0.00328430	  0.03288597
SAR2416	  0.00416429	  0.06066778
SAR2417	  0.00263250	  0.03736940
SAR2418	  0.00123683	  0.03174364
SAR2420	  0.00689329	  0.05690960
SAR2421	  0.00734809	  0.11395684
SAR2422	  0.00125564	  0.03776138
SAR2423	  0.00309363	  0.02233160
SAR2424	  0.00188636	  0.01993795
SAR0243	  0.00394623	  0.03640393
SAR2425	  0.00345887	  0.00897896
SAR2426	  0.00313962	  0.02589158
SAR2427	  0.00363047	  0.02600917
SAR2428	  0.01028817	  0.03383397
SAR2428a	  0.01437753	  0.00000000
SAR2428b	  0.01727535	  0.03923938
SAR2429	  0.00206751	  0.01927313
SAR2430	  0.00123591	  0.05686764
SAR2431	  0.00226277	  0.01409940
SAR2432	  0.00172828	  0.02287874
SAR0023	  0.01533957	  0.05788449
SAR0244	  0.00034221	  0.08250096
SAR2433	  0.00303446	  0.02315608
SAR2434	  0.00150217	  0.03133487
SAR2435	  0.00053290	  0.03294957
SAR2436	  0.00390900	  0.02063553
SAR2437	  0.01497344	  0.10709928
SAR2438	  0.00465468	  0.13870024
SAR2439	  0.00259803	  0.01938950
SAR2441	  0.00177562	  0.01746089
SAR2442	  0.00285637	  0.01934541
SAR2443	  0.00026624	  0.00824939
SAR0245	  0.00503087	  0.04745292
SAR2444	  0.00319164	  0.02289978
SAR2445	  0.00390913	  0.02993702
SAR2446	  0.00357592	  0.02501702
SAR2447	  0.00145901	  0.03002693
SAR2448	  0.00481289	  0.03555345
SAR2449	  0.00620160	  0.01573619
SAR2450	  0.01652738	  0.04842295
SAR0246	  0.00623351	  0.05045183
SAR2454	  0.00298741	  0.02961858
SAR2455	  0.00085477	  0.03248936
SAR2456	  0.00548891	  0.02687713
SAR2457	  0.01328328	  0.10158122
SAR2458	  0.00125795	  0.00685056
SAR2459	  0.00505859	  0.02481389
SAR2460	  0.01280721	  0.07142036
SAR2461	  0.00165232	  0.03026952
SAR2462	  0.00162454	  0.00562512
SAR2463	  0.00301720	  0.02343079
SAR0247	  0.00491439	  0.03298226
SAR2464	  0.00294871	  0.02083467
SAR2465	  0.00017761	  0.00839773
SAR2466	  0.00170537	  0.02717950
SAR2467	  0.00972222	  0.01889923
SAR2468	  0.00067243	  0.02994854
SAR2469	  0.01726384	  0.19460046
SAR2470	  0.00451426	  0.03366887
SAR2471	  0.19925104	  0.22322702
SAR2472	  0.00070764	  0.03263698
SAR2473	  0.00122848	  0.04240014
SAR0248	  0.00441675	  0.05863712
SAR2474	  0.00671716	  0.05213432
SAR2475	  0.01564620	  0.07217192
SAR2476	  0.00356571	  0.10534218
SAR2480	  0.00099747	  0.08051750
SAR2481	  0.00467512	  0.18010709
SAR2482	  0.00305248	  0.12473017
SAR2483	  0.00509527	  0.16198480
SAR2484	  0.00639222	  0.09785458
SAR2485	  0.00336855	  0.13971771
SAR0249	  0.06421142	  0.04729551
SAR2486	  0.00312948	  0.12643443
SAR2487	  0.00966364	  0.06341468
SAR2488	  0.00155682	  0.00963557
SAR2489	  0.00393845	  0.10834312
SAR2490	  0.00034905	  0.00351210
SAR2491	  0.01684098	  0.12831553
SAR2493	  0.01281516	  0.26224629
SAR2495	  0.00588581	  0.05992654
SAR2496	  0.00119025	  0.02632994
SAR0250	  0.01446291	  0.02324311
SAR2499	  0.00296446	  0.02573297
SAR2500	  0.00149972	  0.00128772
SAR2501	  0.00564846	  0.11770604
SAR2502	  0.01095852	  0.14572417
SAR2503	  0.00482687	  0.14346201
SAR2504	  0.00440326	  0.07147819
SAR2505	  0.00433421	  0.06440076
SAR2506	  0.00082292	  0.02290456
SAR0251	  0.00331596	  0.03246099
SAR2507	  0.00091369	  0.02686377
SAR2508	  0.00296622	  0.03443628
SAR2509	  0.00085942	  0.01731065
SAR2510	  0.00918219	  0.13162063
SAR2511	  0.00000000	  0.00000000
SAR2512	  0.00860377	  0.08260147
SAR2513	  0.00774917	  0.01849126
SAR2514	  0.00690297	  0.02930459
SAR2515	  0.00137627	  0.05769485
SAR2516	  0.00261941	  0.03131043
SAR0252	  0.00052338	  0.03706871
SAR2517	  0.00874505	  0.01625857
SAR2518	  0.00332973	  0.01332241
SAR2519	  0.00257673	  0.00958372
SAR2519a	  0.01550587	  0.00000000
SAR2520	  0.02337952	  0.02838878
SAR2521	  0.00857413	  0.04545482
SAR2522	  0.00159450	  0.01827435
SAR2523	  0.00119248	  0.03233573
SAR2524	  0.00529699	  0.05477068
SAR2525	  0.00542366	  0.02293509
SAR0253	  0.00055683	  0.02872346
SAR2526	  0.00164910	  0.02320836
SAR2527	  0.00763972	  0.03075825
SAR2528	  0.00058674	  0.02945825
SAR2529	  0.00195720	  0.03349383
SAR2530	  0.00128412	  0.02905641
SAR2531	  0.00662819	  0.02221420
SAR2532	  0.00396856	  0.04650383
SAR2533	  0.00321431	  0.02887152
SAR2534	  0.00163799	  0.02998273
SAR2535	  0.00056448	  0.01962317
SAR0024	  0.00129566	  0.07533495
SAR0254	  0.00026178	  0.01867519
SAR2536	  0.00482530	  0.05372081
SAR2537	  0.00223604	  0.04914998
SAR2538	  0.00648467	  0.06820957
SAR2539	  0.00562137	  0.05945099
SAR2540	  0.00248815	  0.02632144
SAR2541	  0.00671602	  0.03021509
SAR2542	  0.00198600	  0.03134787
SAR2543	  0.00359555	  0.03158424
SAR2544	  0.02776684	  0.31786828
SAR2545	  0.00327775	  0.04532728
SAR0255	  0.00412127	  0.05698727
SAR2546	  0.00272916	  0.01553476
SAR2547	  0.00282591	  0.04230803
SAR2548	  0.01051571	  0.03728754
SAR2549	  0.00174143	  0.03671199
SAR2550	  0.00189326	  0.03485094
SAR2551	  0.00884160	  0.09911702
SAR2552	  0.00062867	  0.02682959
SAR2553	  0.00175390	  0.02237525
SAR2554	  0.00139149	  0.04526658
SAR2555	  0.00887515	  0.06764387
SAR0256	  0.00802700	  0.13434265
SAR2556	  0.00166265	  0.01234135
SAR2557	  0.00501712	  0.02673026
SAR2559	  0.00711311	  0.06332105
SAR2560	  0.00275288	  0.05810531
SAR2561	  0.00144734	  0.01949616
SAR2563	  0.03276339	  0.13533290
SAR2566	  0.01786876	  0.11089493
SAR0257	  0.00068279	  0.01839882
SAR2567	  0.01067372	  0.08145204
SAR2569	  0.00028479	  0.01428152
SAR2576	  0.00571291	  0.04018627
SAR2577	  0.00123820	  0.01976982
SAR2578	  0.02038657	  0.06788210
SAR0258	  0.00273201	  0.02835777
SAR2579	  0.00117380	  0.05675333
SAR2580	  0.27491714	  0.37168824
SAR2581	  0.01981375	  0.03168648
SAR2582	  0.00119051	  0.04618046
SAR2583	  0.00578813	  0.06367458
SAR2584	  0.00080654	  0.04115383
SAR2585	  0.00127896	  0.00712745
SAR2586	  0.00194420	  0.03767045
SAR2587	  0.00665927	  0.01229486
SAR2588	  0.01038611	  0.10198279
SAR0259	  0.00046031	  0.00233181
SAR2589	  0.00036323	  0.02866395
SAR2590	  0.00079846	  0.04639915
SAR2594	  0.00462084	  0.05054192
SAR2595	  0.00175783	  0.02409776
SAR2596	  0.00161794	  0.05728449
SAR2597	  0.00221115	  0.04708578
SAR2598	  0.01231475	  0.06596308
SAR0260	  0.00003709	  0.01961164
SAR2599	  0.00521537	  0.07144787
SAR2600	  0.00238513	  0.04222674
SAR2601	  0.00781276	  0.06139892
SAR2602	  0.00290952	  0.02950393
SAR2605	  0.00171826	  0.01979790
SAR2607	  0.00706239	  0.06140290
SAR2608	  0.00260214	  0.03584356
SAR2609	  0.01501745	  0.11027742
SAR2610	  0.00037525	  0.02983539
SAR2611	  0.00286782	  0.01829130
SAR2612	  0.00033838	  0.01147218
SAR2613	  0.00228744	  0.01038469
SAR2614	  0.00206109	  0.01347433
SAR2615	  0.00487429	  0.05852606
SAR2616	  0.00000000	  0.01987416
SAR2617	  0.00125060	  0.02726110
SAR2618	  0.00122805	  0.02391965
SAR2619	  0.00230373	  0.10679321
SAR2620	  0.00133246	  0.06821903
SAR2621	  0.00342718	  0.03302499
SAR0262	  0.00482372	  0.06704123
SAR2622	  0.00024930	  0.04551051
SAR2623	  0.00075571	  0.00086824
SAR2624	  0.00511226	  0.03686331
SAR2625	  0.00245135	  0.04190843
SAR2626	  0.00254855	  0.03282533
SAR2627	  0.01093851	  0.05135467
SAR2628	  0.00013508	  0.00000000
SAR2629	  0.00779145	  0.10325253
SAR2630	  0.00342618	  0.03508673
SAR2631	  0.00010746	  0.00969571
SAR0263	  0.04437706	  0.15667961
SAR2632	  0.00627474	  0.13416276
SAR2634	  0.00047916	  0.03734847
SAR2635	  0.01239606	  0.08203123
SAR2636	  0.00170870	  0.08036158
SAR2637	  0.00277019	  0.03159609
SAR2639	  0.00321937	  0.00268913
SAR2640	  0.00263337	  0.01513238
SAR2641	  0.00637891	  0.03957903
SAR2642	  0.00762493	  0.06626818
SAR0264	  0.00365066	  0.03519152
SAR2645	  0.00826435	  0.02492855
SAR2646	  0.00536196	  0.02634903
SAR2647	  0.00925817	  0.04806857
SAR2648	  0.01766049	  0.12493620
SAR2649	  0.00259425	  0.04394092
SAR2650	  0.00319306	  0.01508464
SAR2651	  0.00559497	  0.11469025
SAR2652	  0.00238607	  0.04205643
SAR2653	  0.02824851	  0.02754248
SAR2654	  0.00231225	  0.08470406
SAR0265	  0.00402582	  0.04220574
SAR2655	  0.00190553	  0.04927592
SAR2656	  0.00479329	  0.01889412
SAR2657	  0.01218961	  0.07515256
SAR2658	  0.01170312	  0.06665986
SAR2659	  0.00141107	  0.01049490
SAR2660	  0.00327413	  0.03805334
SAR2661	  0.00365186	  0.02886004
SAR2662	  0.00959300	  0.06743669
SAR2663	  0.00270992	  0.03754223
SAR2664	  0.00435449	  0.02558039
SAR0266	  0.00346389	  0.02786239
SAR2665	  0.00802627	  0.02832405
